
Full Link Report

Report Save Time: 2024-10-04 09:00:31   |   End Date: 2024-10-04 00:00:00

Link Name,Site A Name,Site A Location,Site A IP,Site A Physical Port,Site Z Name,Site Z Location,Site Z IP,Site Z Physical Port,Link Configuration,Site A Radio,Site Z Radio,Site A Tx Freq [MHz],Site Z Tx Freq [MHz],Site A Tx Freq Min [MHz],Site Z Tx Freq Min [MHz],Site A Tx Freq Max [MHz],Site Z Tx Freq Max [MHz],ATPC,Site A Radio Link ID,Site Z Radio Link ID,Site A Max Power (Preset) [dBm],Site Z Max Power (Preset) [dBm],Site A Tx Power (Current) [dBm],Site Z Tx Power (Current) [dBm],Site A Rx Level (Current) [dBm],Site Z Rx Level (Current) [dBm],Site A Max Tx Power (Last 24 h) [dBm],Site Z Max Tx Power (Last 24 h) [dBm],Site A Min Tx Power (Last 24 h) [dBm],Site Z Min Tx Power (Last 24 h) [dBm],Site A Max Rx Level (Last 24 h) [dBm],Site Z Max Rx Level (Last 24 h) [dBm],Site A Min Rx Level (Last 24 h) [dBm],Site Z Min Rx Level (Last 24 h) [dBm],Site A Radio Script,Site Z Radio Script,MRMC Script Operational Mode,MRMC Script Profile,MRMC Script Maximum Profile,MRMC Script Minimum Profile,Site A MRMC Threshold 1,Site Z MRMC Threshold 1,Site A MRMC Threshold 2,Site Z MRMC Threshold 2,Site A Above MRMC Threshold 1 (Last 24 h) [sec],Site Z Above MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 1 (Last 24 h) [sec],Site Z Below MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 2 (Last 24 h) [sec],Site Z Below MRMC Threshold 2 (Last 24 h) [sec],Site A Radio Script Max Capacity [Mb/s],Site Z Radio Script Max Capacity [Mb/s],Site A Max HW Radio Capacity [Mb/s],Site Z Max HW Radio Capacity [Mb/s],Total Link Supported Capacity [Mb/s],Site A Max Ethernet Capacity [Mb/s],Site Z Max Ethernet Capacity [Mb/s],Site A Peak Capacity (Last 24 h) [Mb/s],Site Z Peak Capacity (Last 24 h) [Mb/s],Site A Avg Capacity (Last 24 h) [Mb/s],Site Z Avg Capacity (Last 24 h) [Mb/s],Site A Capacity Exceeded (Last 24 h) [sec],Site Z Capacity Exceeded (Last 24 h) [sec],Site A Peak Throughput (Last 24 h) [Mb/s],Site Z Peak Throughput (Last 24 h) [Mb/s],Site A Avg Throughput (Last 24 h) [Mb/s],Site Z Avg Throughput (Last 24 h) [Mb/s],Site A Min Throughput (Last 24 h) [Mb/s],Site Z Min Throughput (Last 24 h) [Mb/s],Site A Throughput Exceeded (Last 24 h) [sec],Site Z Throughput Exceeded (Last 24 h) [sec],Site A Peak Utilization (Last 24 h) [%],Site Z Peak Utilization (Last 24 h) [%],Site A Avg Utilization (Last 24 h) [%],Site Z Avg Utilization (Last 24 h) [%],Site A Utilization Threshold 1,Site Z Utilization Threshold 1,Site A Utilization Threshold 2,Site Z Utilization Threshold 2,Site A Utilization Threshold 3,Site Z Utilization Threshold 3,Site A Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site A Below Utilization Threshold 3 (Last 24 h) [sec],Site Z Below Utilization Threshold 3 (Last 24 h) [sec],Site A Max E1/T1,Site Z Max E1/T1,Site A Active E1/T1,Site Z Active E1/T1,Site A E1/T1 Utilization [%],Site Z E1/T1 Utilization [%],Site A Frame Error Rate (Last 24 h) [%],Site Z Frame Error Rate (Last 24 h) [%]
"INKA008821_KBAN_I_C_I2C1 - INKA006053_KBAN_I_C_I2C3","INKA008821_KBAN_I_C_I2C1","INKA008821","2402:8100:4000:0:0:f:1f00:727","Slot 2 / Port 2","INKA006053_KBAN_I_C_I2C3","INKA006053","2402:8100:4000:0:0:f:1f00:726","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","18","18","10","10","-29","-31","10","10","10","10","-28","-30","-31","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","44","198","1","18","65561","76061","43","195","1","18","0","0","63229","75768","9","40","0","3","100","0","0","0","0","0","0","0","6786","69406","0","0","79614","16994","135","135","0","0","0","0","0","0"
"INKA001044_KBAN_I_C_I2C1 - INKA000080_KBAN_I_C_I2C2","INKA001044_KBAN_I_C_I2C1","INKA001044","2402:8100:4000:0:0:f:1f00:26","Slot 2 / Port 1","INKA000080_KBAN_I_C_I2C2","INKA000080","2402:8100:4000:0:0:f:1f00:25","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","18","18","8","8","-31","-32","8","8","8","8","-30","-31","-40","-40","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","76","277","8","46","86239","0","74","272","7","44","0","0","85837","0","15","56","1","8","0","0","0","0","0","0","0","0","67124","80955","0","0","19275","5444","135","135","0","0","0","0","0","0"
"INKA007198_KBAN_I_C_I2C3 - INKA202809_KBAN_I_C_I2C1","INKA007198_KBAN_I_C_I2C3","INKA007198","2402:8100:4000:0:0:f:1f00:ca9","Slot 2 / Port 1","INKA202809_KBAN_I_C_I2C1","INKA202809","2402:8100:4000:0:0:f:1f00:ca8","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","22526","21294","22400","21200","23020","21800","Disable","1","1","16","16","7","7","-31","-32","7","7","7","7","-30","-32","-39","-41","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","214","51","22","2","0","0","211","50","21","1","0","0","0","0","43","10","3","0","0","0","0","0","0","0","0","0","77191","18163","0","0","9209","68236","135","135","0","0","0","0","0","0"
"IDKL107354_KDLY_I_C_I2C1 - INKL005736_KDLY_I_C_I2C1","IDKL107354_KDLY_I_C_I2C1","IDKL107354","2402:8100:4000:0:0:1:1f40:91","Slot 2 / Port 2","INKL005736_KDLY_I_C_I2C1","INKL005736","2402:8100:4000:0:0:1:1f40:90","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14963","14543","14921","14501","15145","14725","Disable","1","1","20","20","17","17","-30","-30","17","17","17","17","-29","-30","-30","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","62","307","8","82","0","0","60","302","7","80","0","0","0","0","13","67","1","17","0","0","0","0","0","0","0","0","70020","83392","0","0","16379","3007","125","125","0","0","0","0","0","0"
"INKL215777_SHOR_I_C_I2C1 - IDKL100188_SHOR_I_C_I2C1","INKL215777_SHOR_I_C_I2C1","INKL215777","2402:8100:4000:0:0:1:1f40:c31","Slot 2 / Port 2","IDKL100188_SHOR_I_C_I2C1","IDKL100188","2402:8100:4000:0:0:1:1f40:c30","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14711","15131","14907","15327","Disable","1","1","20","20","14","14","-29","-30","14","14","14","14","-28","-29","-89","-90","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","79199","82799","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","59","201","3","39","0","0","58","197","3","38","0","0","66230","66566","12","43","0","7","100","100","0","0","0","0","0","0","39462","74057","0","0","45136","10542","125","125","0","0","0","0","0","0"
"INKL301677_MLPM_I_C_I2C1 - IDKL107049_MLPM_I_C_I2C3","INKL301677_MLPM_I_C_I2C1","INKL301677","2402:8100:4000:0:0:1:1f40:4d9","Slot 2 / Port 2","IDKL107049_MLPM_I_C_I2C3","IDKL107049","2402:8100:4000:0:0:1:1f40:4d8","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14515","14935","14501","14921","14725","15145","Disable","1","1","20","20","19","19","-32","-32","19","19","19","19","-31","-31","-33","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","71","224","8","74","0","0","69","220","7","73","0","0","0","0","15","48","1","15","0","0","0","0","0","0","0","0","69136","84491","0","0","17263","1909","125","125","0","0","0","0","0","0"
"IDKL107351_KDLY_I_C_I2C1 - INKL013753_BALU_I_C_I2C2","IDKL107351_KDLY_I_C_I2C1","IDKL107351","2402:8100:4000:0:0:1:1f40:c5","Slot 2 / Port 1","INKL013753_BALU_I_C_I2C2","INKL013753","2402:8100:4000:0:0:1:1f40:c4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14697","15117","14921","15341","Disable","1","1","18","18","15","15","-31","-32","15","15","15","15","-31","-32","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","66","413","16","155","0","0","63","406","15","152","0","0","0","0","13","84","2","30","0","0","0","0","0","0","0","0","79787","85860","0","0","6613","539","135","135","0","0","0","0","0","0"
"INKL205519_Vaka_I_C_I2C1 - INKL061361_Vaka_I_C_I2C1","INKL205519_Vaka_I_C_I2C1","INKL205519","2402:8100:4000:0:0:1:1f40:1721","Slot 2 / Port 1","INKL061361_Vaka_I_C_I2C1","INKL061361","2402:8100:4000:0:0:1:1f40:1720","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14697","15117","14921","15341","Disable","1","1","20","20","19","19","-31","-32","19","19","19","19","-30","-32","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","61","273","6","67","0","0","59","268","5","66","0","0","0","0","13","59","0","14","0","0","0","0","0","0","0","0","62786","84162","0","0","23613","2237","125","125","0","0","0","0","0","0"
"IDKL106050_EDAR_I_C_I2C1 - INKL058568_EDAR_I_C_I2C1","IDKL106050_EDAR_I_C_I2C1","IDKL106050","2402:8100:4000:0:0:1:1f40:481","Slot 2 / Port 2","INKL058568_EDAR_I_C_I2C1","INKL058568","2402:8100:4000:0:0:1:1f40:480","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","20","20","20","20","-33","-34","20","20","20","20","-32","-33","-35","-36","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","8","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","213.6","213.6","45","261","5","61","0","0","44","257","5","60","0","0","0","0","10","60","0","13","0","0","0","0","0","0","0","0","60350","79761","0","0","26050","6639","118","118","0","0","0","0","0","0"
"INKA000191_KBAN_I_C_I2C1 - INKA204762_KBAN_I_C_I2C1","INKA000191_KBAN_I_C_I2C1","INKA000191","2402:8100:4000:0:0:f:1f00:2123","Slot 2 / Port 1","INKA204762_KBAN_I_C_I2C1","INKA204762","2402:8100:4000:0:0:f:1f00:2122","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","21294","22526","21200","22400","21800","23020","Disable","1","1","16","16","4","4","-40","-41","4","4","4","4","-38","-39","-43","-44","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","200.96","243.12","134","40","23","1","0","0","132","39","22","1","0","0","0","0","27","9","4","0","0","0","0","0","0","0","0","0","71781","16952","0","0","14619","69447","111","135","0","0","0","0","0","0"
